cod_art;ref_prove;des_art;cod_cat;descrip;Cats;Fabricante;precio_v;p.Activo;ruta_img;SHOW_PRICE;codigo
1835;7513123;TP8 (2U.X5L.);194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;47,94;1;C:\SALIDA\img\001835.png;0;194
1845;7513121;TASKI JONTEC DESTAT W1062 (2U.X5L.);194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;116,26;1;C:\SALIDA\img\001845.JPG;0;194
1910;7512694;TASKI JONTEC ETERNUM (2 x 5L);196;CERAS Y EMULSIONES;0,107,196;DIVERSEY ESPAÑA, S.L.;94,42;1;C:\SALIDA\img\001910.png;0;196
1920;7512360;TASKI VISION STAR (2ENVX5L);196;CERAS Y EMULSIONES;0,107,196;DIVERSEY ESPAÑA, S.L.;79,77;1;C:\SALIDA\img\001920.jpg;0;196
1930;7512357;TASKI JONTEC RESITOL (2UX5L);196;CERAS Y EMULSIONES;0,107,196;DIVERSEY ESPAÑA, S.L.;74,11;1;C:\SALIDA\img\001930.jpg;0;196
1940;7513323;TASKI JONTEC LUNA (2ENVX5L);196;CERAS Y EMULSIONES;0,107,196;DIVERSEY ESPAÑA, S.L.;78,78;1;C:\SALIDA\img\001940.jpg;0;196
1960;7513194;TASKI JONTEC MATT W249 (2UX5L);196;CERAS Y EMULSIONES;0,107,196;DIVERSEY ESPAÑA, S.L.;79,77;1;C:\SALIDA\img\001960.png;0;196
2025;;JONTEC BARNIZ (ENV 2U. X5L.);196;CERAS Y EMULSIONES;0,107,196;DIVERSEY ESPAÑA, S.L.;116,87;1;C:\SALIDA\img\002025.JPG;0;196
2035;7513323;TASKI JONTEC LUNA W362 (2U.X5L.);196;CERAS Y EMULSIONES;0,107,196;DIVERSEY ESPAÑA, S.L.;87,45;1;C:\SALIDA\img\002035.jpg;0;196
2045;7512698;TASKI JOTEC PLAZA (2U x 5L);196;CERAS Y EMULSIONES;0,107,196;DIVERSEY ESPAÑA, S.L.;108,78;1;C:\SALIDA\img\002045.JPG;0;196
2050;7513193;TP 7 (2U.X5L.);196;CERAS Y EMULSIONES;0,107,196;DIVERSEY ESPAÑA, S.L.;61,42;1;C:\SALIDA\img\002050.jpg;0;196
2055;7513194;JONTEC MATT (2U.X5L.);196;CERAS Y EMULSIONES;0,107,196;DIVERSEY ESPAÑA, S.L.;93,78;1;C:\SALIDA\img\002055.png;0;196
2105;7512349;TASKI JONTEC RESTORE W668  (2U. X 5L.);194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;74,45;1;C:\SALIDA\img\002105.png;0;194
2205;7512673;TASKI JONTEC CERAMICA S&MW (2Ux5L);194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;38,72;1;C:\SALIDA\img\002205.JPG;0;194
2210;7512925;TASKI JONTEC 300 S&MWe (2U. X 5L.);194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;36,45;1;C:\SALIDA\img\002210.JPG;0;194
2405;;TASKI SPRINT EMEREL BIO (20L);208;MULTIUSOS;0,109,208;DIVERSEY ESPAÑA, S.L.;78,85;1;C:\SALIDA\img\002405.jpg;0;208
2415;;TASKI SPRINT EMEREL BIO (2 x 5L);208;MULTIUSOS;0,109,208;DIVERSEY ESPAÑA, S.L.;40,78;1;C:\SALIDA\img\002415.JPG;0;208
2430;7519090;TASKI SPRINT EMEREL AMONIACAL (2U.X5L.);194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;16,15;1;C:\SALIDA\img\002430.jpg;0;194
2435;;TASKI SPRINT EMEREL DESENGRASANTE (2Ux5L);183;DESENGRASANTES;0,106,183;DIVERSEY ESPAÑA, S.L.;35,44;1;C:\SALIDA\img\002435.jpg;0;183
2445;7515301;TASKI SPRINT EMEREL AMONIACAL (10U.X1,5L.);194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;25,87;1;C:\SALIDA\img\002445.jpg;0;194
2450;;ROOM CARE R2 (2ENVX5L);214;GAMA ROOM CARE;0,109,214;DIVERSEY ESPAÑA, S.L.;30,41;1;C:\SALIDA\img\002450.jpg;0;214
2475;7522315;ROOM CARE R2 (6BOTX750ML);214;GAMA ROOM CARE;0,109,214;DIVERSEY ESPAÑA, S.L.;32,18;1;C:\SALIDA\img\002475.jpg;0;214
2525;7509663;ROOM CARE R4 (6BOTX750ML);214;GAMA ROOM CARE;0,109,214;DIVERSEY ESPAÑA, S.L.;46,33;1;C:\SALIDA\img\002525.JPG;0;214
2650;7513038;TASKI ENERGY (2X5L);194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;26,37;1;C:\SALIDA\img\002650.JPG;0;194
2665;7512882;TASKI SPRINT FLOWER 2X5L W668;194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;79,6;1;C:\SALIDA\img\002665.jpg;0;194
2805;7513844;TASKI SPRINT MAGNUM (2Ux5L);258;LIMPIADORES AMBIENTADORES;0,113,258;DIVERSEY ESPAÑA, S.L.;26,11;1;C:\SALIDA\img\002805.JPG;0;258
2810;7513845;TASKI SPRINT MAGNUM (20L);258;LIMPIADORES AMBIENTADORES;0,113,258;DIVERSEY ESPAÑA, S.L.;47,26;1;;0;258
2815;7509845;JD DIVOS 120CL VM9 (20L.) We;170;OTROS QUIMICOS;0,105,170;DIVERSEY ESPAÑA, S.L.;68,42;1;;0;170
2830;7510944;JD DIVO FLOW NTC VC26 20L;;;;DIVERSEY ESPAÑA, S.L.;0;1;;0;
2855;;TASKI SPRINT IMPACT (2Ux5L);208;MULTIUSOS;0,109,208;DIVERSEY ESPAÑA, S.L.;28,97;1;C:\SALIDA\img\002855.JPG;0;208
3045;7510574;JD OMEGA VS23 (20L.);;;;DIVERSEY ESPAÑA, S.L.;96,26;1;;0;
3050;7518680;DI SPRINT LIMPIADOR CLORADO (10UX1,5KG);;;;DIVERSEY ESPAÑA, S.L.;23,7;1;C:\SALIDA\img\003050.JPG;0;
3051;7521719;TASKI SPRINT H-100 (2X5L) E;173;LIMPIEZA HOSPITALARIA;0,105,173;DIVERSEY ESPAÑA, S.L.;29,2;1;C:\SALIDA\img\003051.JPG;0;173
3052;7523114;BTLKIT 1L TASKI SPRINT H-100 15PC E;286;ACCESORIOS PARA DOSIFICACION;0,115,286;DIVERSEY ESPAÑA, S.L.;38,27;1;C:\SALIDA\img\003052.jpg;0;286
3057;;JD SUREDIS (20L.);187;OTROS QUIMICOS COCINAS;0,106,187;DIVERSEY ESPAÑA, S.L.;121,36;1;C:\SALIDA\img\003057.jpg;0;187
3065;7522025;SPRINT H-200 (2U.X5L.);;;;DIVERSEY ESPAÑA, S.L.;195,2;1;C:\SALIDA\img\003065.jpg;0;
3075;7512449;JD ALCOSAN VT10 (2U.X5L.);;;;DIVERSEY ESPAÑA, S.L.;33,57;1;C:\SALIDA\img\003075.jpg;0;
3076;7514668;JD ALCOSAN VT10 (6Ux0,75L);;;;DIVERSEY ESPAÑA, S.L.;28,51;1;C:\SALIDA\img\003076.jpg;0;
4008;7512191;PULVERIZADOR VACIO 0,75L. (6U.);280;BOTELLAS Y PULVERIZADORES;0,115,280;DIVERSEY ESPAÑA, S.L.;14,44;1;;0;280
4009;7512191;PULVERIZADOR VACIO 0,75 L (U);280;BOTELLAS Y PULVERIZADORES;0,115,280;DIVERSEY ESPAÑA, S.L.;2,4;1;;0;280
4015;;BOTELLA VACIA BLANCA 1L (15U);280;BOTELLAS Y PULVERIZADORES;0,115,280;DIVERSEY ESPAÑA, S.L.;16,22;1;;0;280
4016;;BOTELLA VACIA BLANCA (UNIDAD);280;BOTELLAS Y PULVERIZADORES;0,115,280;DIVERSEY ESPAÑA, S.L.;1,0813;1;;0;280
4024;7500790;BOTELLA VACIA TASKI 500ML (UNID);280;BOTELLAS Y PULVERIZADORES;0,115,280;DIVERSEY ESPAÑA, S.L.;2,07;1;;0;280
4055;1204320;KIT BOT RELLEN 300ML R1 (6BOT+6TAP);214;GAMA ROOM CARE;0,109,214;DIVERSEY ESPAÑA, S.L.;53,36;1;;0;214
4060;1204321;KIT BOT RELLEN 300ML R2 (6BOT+6PULV);214;GAMA ROOM CARE;0,109,214;DIVERSEY ESPAÑA, S.L.;69,51;1;;0;214
4065;1204323;KIT BOT RELLEN 300ML R3 (6BOT+6PULV);214;GAMA ROOM CARE;0,109,214;DIVERSEY ESPAÑA, S.L.;69,51;1;;0;214
4070;1204324;KIT BOT RELLEN 300ML R5 (6BOT+6PULV);214;GAMA ROOM CARE;0,109,214;DIVERSEY ESPAÑA, S.L.;69,51;1;;0;214
4527;1200813;RACK PARED SAFEPACK;190;SISTEMA SAFEPACK;0,106,190;DIVERSEY ESPAÑA, S.L.;54,85;1;C:\SALIDA\img\004527.jpg;0;190
4543;100857609;ROOM CARE R1 PLUS (2 RECARGAS DE 1,5L);;;;DIVERSEY ESPAÑA, S.L.;147,07;1;C:\SALIDA\img\004543.JPG;0;
4544;7522316;ROOM CARE R2 PLUS (2 RECARGAS DE 1,5L);;;;DIVERSEY ESPAÑA, S.L.;76,71;1;C:\SALIDA\img\004544.jpg;0;
4545;7509676;ROOM CARE R3 PLUS (2 RECARGAS DE 1,5L);;;;DIVERSEY ESPAÑA, S.L.;81,31;1;C:\SALIDA\img\004545.JPG;0;
4547;7509679;ROOM CARE  R5 PLUS (2 RECARGAS DE 1,5L);;;;DIVERSEY ESPAÑA, S.L.;198,95;1;C:\SALIDA\img\004547.JPG;0;
4572;1204314;KIT BOT.RELLEN..750ML R1 (6BOT+6PULV);220;BOTELLAS DIVERMITE;0,109,220;DIVERSEY ESPAÑA, S.L.;50,05;1;;0;220
4573;1204315;KIT BOT.RELLEN. 750ML R2 (6 BOT.+6 PULV);220;BOTELLAS DIVERMITE;0,109,220;DIVERSEY ESPAÑA, S.L.;68,31;1;;0;220
4576;1204318;KIT BOT.RELLEN. 750ML R5 (6BOT+6PULV);220;BOTELLAS DIVERMITE;0,109,220;DIVERSEY ESPAÑA, S.L.;68,31;1;;0;220
4592;1211324;BOTELLA 0,75L RC R9 REFILL 6PC;280;BOTELLAS Y PULVERIZADORES;0,115,280;DIVERSEY ESPAÑA, S.L.;69,51;1;;0;280
4600;7511538;PRONTO WOOD POLISH (CAJA 12UX0.4L);221;MARCAS PROFESIONALES LIMPIEZA;0,109,221;DIVERSEY ESPAÑA, S.L.;58,29;1;C:\SALIDA\img\004600.jpg;0;221
4605;7510748;ROOM CARE R2-PLUS L (2X1,5L);214;GAMA ROOM CARE;0,109,214;DIVERSEY ESPAÑA, S.L.;76,67;1;C:\SALIDA\img\004605.jpg;0;214
4610;7519075;ROOM CARE R9.1-PLUS (2X1,5L);214;GAMA ROOM CARE;0,109,214;DIVERSEY ESPAÑA, S.L.;87,29;1;C:\SALIDA\img\004610.jpg;0;214
4650;7511537;PRONTO MULTISURFACE (12x400);221;MARCAS PROFESIONALES LIMPIEZA;0,109,221;DIVERSEY ESPAÑA, S.L.;61,85;1;C:\SALIDA\img\004650.JPG;0;221
4705;7511535;PRONTO LIQUIDO WOOD CLEANER (2Ux5L);202;MARCAS PROFESIONALES SUELOS;0,107,202;DIVERSEY ESPAÑA, S.L.;59,48;1;C:\SALIDA\img\004705.JPG;0;202
4910;7513504;GOOD SENSE VERT (2x5L);258;LIMPIADORES AMBIENTADORES;0,113,258;DIVERSEY ESPAÑA, S.L.;51,34;1;C:\SALIDA\img\004910.JPG;0;258
4920;7514484;GOOD SENSE FLORAL (2U.X5L.);258;LIMPIADORES AMBIENTADORES;0,113,258;DIVERSEY ESPAÑA, S.L.;51,64;1;C:\SALIDA\img\004920.jpg;0;258
4930;7514483;GOOD SENSE MANDARINE (2U.X5L.);255;AMBIENTADORES LIQUIDOS;0,113,255;DIVERSEY ESPAÑA, S.L.;49,66;1;C:\SALIDA\img\004930.jpg;0;255
5050;7513849;GOOD SENSE MAGNOLIA-MIMOSA (12Ux500ML);256;AMBIENTADORES EN AEROSOL;0,113,256;DIVERSEY ESPAÑA, S.L.;71,09;1;C:\SALIDA\img\005050.JPG;0;256
5100;7513848;GOOD SENSE MARINE (12U X 500ML);256;AMBIENTADORES EN AEROSOL;0,113,256;DIVERSEY ESPAÑA, S.L.;71,09;1;C:\SALIDA\img\005100.JPG;0;256
5200;7513847;GOOD SENSE TOSCANA (12U x 500ML);256;AMBIENTADORES EN AEROSOL;0,113,256;DIVERSEY ESPAÑA, S.L.;71,09;1;C:\SALIDA\img\005200.jpg;0;256
5215;7513818;GOOD SENSE TOSCANE (2Ux5L);258;LIMPIADORES AMBIENTADORES;0,113,258;DIVERSEY ESPAÑA, S.L.;51,63;1;C:\SALIDA\img\005215.jpg;0;258
5240;7509666;ROOM CARE R5 (6BOTX750ML);214;GAMA ROOM CARE;0,109,214;DIVERSEY ESPAÑA, S.L.;76,42;1;C:\SALIDA\img\005240.JPG;0;214
5350;7513846;GOOD SENSE MANDARINE (12Ux 0,5L);256;AMBIENTADORES EN AEROSOL;0,113,256;DIVERSEY ESPAÑA, S.L.;71,09;1;C:\SALIDA\img\005350.JPG;0;256
5405;7512914;GOOD SENSE FRESH (6x750ML);255;AMBIENTADORES LIQUIDOS;0,113,255;DIVERSEY ESPAÑA, S.L.;62,69;1;C:\SALIDA\img\005405.JPG;0;255
5410;7514379;GOOD SENSE DIFUSOR (CAJA 1 UNIDAD);159;DISPENSADOR AMBIENTADOR;0,104,159;DIVERSEY ESPAÑA, S.L.;79,87;1;C:\SALIDA\img\005410.JPG;0;159
5415;7513507;GOOD SENSE POWER (6U.X1L.) F.I.E.;255;AMBIENTADORES LIQUIDOS;0,113,255;DIVERSEY ESPAÑA, S.L.;99,33;1;C:\SALIDA\img\005415.JPG;0;255
5425;7516990;GOOD SENSE PIN (2U.X5L.) F.B.D.E.;258;LIMPIADORES AMBIENTADORES;0,113,258;DIVERSEY ESPAÑA, S.L.;50,84;1;C:\SALIDA\img\005425.jpg;0;258
5430;7513064;GOOD SENSE REC.MAGNOLIA-MIMOSA (2x6x20ML);257;AMBIENTADORES EN RECARGA;0,113,257;DIVERSEY ESPAÑA, S.L.;89,76;1;C:\SALIDA\img\005430.JPG;0;257
5435;7514167;GOOD SENSE CRUSAIR (12UX0,5L.);256;AMBIENTADORES EN AEROSOL;0,113,256;DIVERSEY ESPAÑA, S.L.;98,37;1;C:\SALIDA\img\005435.jpg;0;256
5445;7516770;GOOD SENSE BREAKDOWN 2X5L;255;AMBIENTADORES LIQUIDOS;0,113,255;DIVERSEY ESPAÑA, S.L.;73,11;1;C:\SALIDA\img\005445.jpg;0;255
5450;7513068;GOOD SENSE REC.SUMMER FESTIVAL (2x6x20ML);257;AMBIENTADORES EN RECARGA;0,113,257;DIVERSEY ESPAÑA, S.L.;89,76;1;C:\SALIDA\img\005450.JPG;0;257
5470;7513072;GOOD SENSE TOSCANE (2x6x20ML);257;AMBIENTADORES EN RECARGA;0,113,257;DIVERSEY ESPAÑA, S.L.;89,76;1;C:\SALIDA\img\005470.JPG;0;257
5475;7513080;GOOD SENSE VARIETY PACK (2x6x20ML);257;AMBIENTADORES EN RECARGA;0,113,257;DIVERSEY ESPAÑA, S.L.;98,76;1;C:\SALIDA\img\005475.JPG;0;257
5480;7513886;DISPENS. GOOD SENSE 30 DAY AIR FRESHE 6U;259;AMBIENTADORES SANITARIOS;0,113,259;DIVERSEY ESPAÑA, S.L.;26,87;1;;0;259
5485;7513886;DISPENS. GOOD SENSE 30 DAY AIR FRESHENE 1U;259;AMBIENTADORES SANITARIOS;0,113,259;DIVERSEY ESPAÑA, S.L.;4,47;1;;0;259
5490;7514100;GOOD SENSE 30 DAY GREEN APPLE (6Px2U);259;AMBIENTADORES SANITARIOS;0,113,259;DIVERSEY ESPAÑA, S.L.;68,5;1;C:\SALIDA\img\005490.jpg;0;259
5505;7516997;TASKI SPRINT MULTIUSOS (2U x 5L) W668;208;MULTIUSOS;0,109,208;DIVERSEY ESPAÑA, S.L.;39,14;1;C:\SALIDA\img\005505.JPG;0;208
5508;7515239;JD SPRINT 200 PUR-ECO (6Ux1L);180;GAMA PUR ECO HIGIENE;0,106,180;DIVERSEY ESPAÑA, S.L.;36,23;1;C:\SALIDA\img\005508.jpg;0;180
5509;7515240;JD SPRINT 200 PUR-ECO 2X5L;180;GAMA PUR ECO HIGIENE;0,106,180;DIVERSEY ESPAÑA, S.L.;42,15;1;C:\SALIDA\img\005509.jpg;0;180
5511;7515244;SANI CALC PUR-ECO 2X5L;180;GAMA PUR ECO HIGIENE;0,106,180;DIVERSEY ESPAÑA, S.L.;58,39;1;C:\SALIDA\img\005511.jpg;0;180
5515;7513686;GSS SPRING BARRITAS (2PC);259;AMBIENTADORES SANITARIOS;0,113,259;DIVERSEY ESPAÑA, S.L.;86,12;1;;0;259
5622;7515585;SPRINT GLASS PUR-ECO (6x0.75L);180;GAMA PUR ECO HIGIENE;0,106,180;DIVERSEY ESPAÑA, S.L.;28,34;1;C:\SALIDA\img\005622.jpg;0;180
5630;7516996;TASKI SPRINT GLASS (6U.X750ML.) W667;208;MULTIUSOS;0,109,208;DIVERSEY ESPAÑA, S.L.;24,37;1;C:\SALIDA\img\005630.JPG;0;208
5635;7513052;TASKI SPRINT GLASS (2U.X5L.) S&MWe60;208;MULTIUSOS;0,109,208;DIVERSEY ESPAÑA, S.L.;27,08;1;C:\SALIDA\img\005635.jpg;0;208
5640;7514469;SUMA RAPID D6 (2 x 5L);208;MULTIUSOS;0,109,208;DIVERSEY ESPAÑA, S.L.;27,84;1;C:\SALIDA\img\005640.jpg;0;208
5645;7509658;ROOM CARE R3  W1476 (6Ux750ML );214;GAMA ROOM CARE;0,109,214;DIVERSEY ESPAÑA, S.L.;26,69;1;C:\SALIDA\img\005645.JPG;0;214
5655;7518835;TASKI SPRINT NO77 2x5L;208;MULTIUSOS;0,109,208;DIVERSEY ESPAÑA, S.L.;33,7;1;C:\SALIDA\img\005655.jpg;0;208
5656;7518835;TASKI SPRINT NO77 (5L);194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;16,85;1;C:\SALIDA\img\005656.jpg;0;194
5804;7516995;TASKI SPRINT MULTIUSOS (6Ux0,75L) B,E,NL,P;208;MULTIUSOS;0,109,208;DIVERSEY ESPAÑA, S.L.;30,71;1;C:\SALIDA\img\005804.jpg;0;208
6000;100843456;TASKI SANI DRASTIC (CAJA 15 Ux1L);203;LIMPIEZA GENERAL BAÑOS;0,108,203;DIVERSEY ESPAÑA, S.L.;80,18;1;C:\SALIDA\img\006000.jpg;0;203
6010;7515243;JD SANI CALC PUR-ECO (6Ux1L);180;GAMA PUR ECO HIGIENE;0,106,180;DIVERSEY ESPAÑA, S.L.;42,44;1;C:\SALIDA\img\006010.jpg;0;180
6020;7515592;JD SANI CLONET PUR-ECO (6Ux0.75L);180;GAMA PUR ECO HIGIENE;0,106,180;DIVERSEY ESPAÑA, S.L.;26,64;1;C:\SALIDA\img\006020.JPG;0;180
6045;7512821;TASKI SANI CID CON 6x1L Db;213;GAMA EXACT;0,109,213;DIVERSEY ESPAÑA, S.L.;86,51;1;;0;213
6065;7513254;TASKI SANI CALC (2U.X5L.) S&MWe60;181;DESINCRUSTANTES;0,106,181;DIVERSEY ESPAÑA, S.L.;59,74;1;C:\SALIDA\img\006065.JPG;0;181
6085;100866806;TASKI SANI GEL (6U.X1L.);203;LIMPIEZA GENERAL BAÑOS;0,108,203;DIVERSEY ESPAÑA, S.L.;34,87;1;C:\SALIDA\img\006085.jpg;0;203
6090;7517090;TASKI SANI 100 QS (2X2,5L);;;;DIVERSEY ESPAÑA, S.L.;93,49;1;C:\SALIDA\img\006090.jpg;0;
6095;7517096;TASKI SPRINT 200 QS 2X2,5L;216;SISTEMA QUATTRO SELECT;0,109,216;DIVERSEY ESPAÑA, S.L.;80,36;1;C:\SALIDA\img\006095.jpg;0;216
6105;7517105;TASKI JONTEC 300 QS 2X2,5L;216;SISTEMA QUATTRO SELECT;0,109,216;DIVERSEY ESPAÑA, S.L.;76,01;1;C:\SALIDA\img\006105.jpg;0;216
6107;7517828;TASKI JONTEC 300 PUR-ECO QS (2X2,5L);180;GAMA PUR ECO HIGIENE;0,106,180;DIVERSEY ESPAÑA, S.L.;75,98;1;C:\SALIDA\img\006107.jpg;0;180
6110;7518764;JD SANI BLOC 24PC S&MWe 27;205;ESPECIALIDADES BAÑOS;0,108,205;DIVERSEY ESPAÑA, S.L.;54,14;1;C:\SALIDA\img\006110.JPG;0;205
6112;7518764;TASKI SANI BLOC 12X0.04KG;205;ESPECIALIDADES BAÑOS;0,108,205;DIVERSEY ESPAÑA, S.L.;20,28;1;;0;205
6115;7517093;TASKI SANI CALC QS 2X2,5L;216;SISTEMA QUATTRO SELECT;0,109,216;DIVERSEY ESPAÑA, S.L.;138,91;1;C:\SALIDA\img\006115.jpg;0;216
6116;7523000;TASKI SANI 4 IN 1 QS 2X2,5L;216;SISTEMA QUATTRO SELECT;0,109,216;DIVERSEY ESPAÑA, S.L.;157,17;1;C:\SALIDA\img\006116.jpg;0;216
6120;7512827;TASKI SANI CID CONC 5L Cb S&MWe147;213;GAMA EXACT;0,109,213;DIVERSEY ESPAÑA, S.L.;65,8;1;C:\SALIDA\img\006120.jpg;0;213
6130;7517100;TASKI SPRINT EMEREL QS 2X2,5L;216;SISTEMA QUATTRO SELECT;0,109,216;DIVERSEY ESPAÑA, S.L.;107,54;1;C:\SALIDA\img\006130.jpg;0;216
6132;7520059;TASKI SPRINT 200 PUR-ECO QS (2X2,5L);180;GAMA PUR ECO HIGIENE;0,106,180;DIVERSEY ESPAÑA, S.L.;77,47;1;C:\SALIDA\img\006132.jpg;0;180
6135;7517107;TASKI JONTEC FORWARD QS 2X2,5L;;;;DIVERSEY ESPAÑA, S.L.;98,7;1;C:\SALIDA\img\006135.png;0;
6140;7517104;TASKI GOODSENSE VERT QS 2X2.5L;216;SISTEMA QUATTRO SELECT;0,109,216;DIVERSEY ESPAÑA, S.L.;154,6;1;C:\SALIDA\img\006140.jpg;0;216
6145;7517092;TASKI SANI CID QS 2X2,5L;216;SISTEMA QUATTRO SELECT;0,109,216;DIVERSEY ESPAÑA, S.L.;95,28;1;C:\SALIDA\img\006145.jpg;0;216
6155;7517108;TASKI JONTEC TENSOL QS 2X2.5L;194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;96,26;1;C:\SALIDA\img\006155.jpg;0;194
6160;7517098;TASKI SPRINT GLASS QS 2X2.5L;208;MULTIUSOS;0,109,208;DIVERSEY ESPAÑA, S.L.;140,39;1;C:\SALIDA\img\006160.jpg;0;208
6185;7513972;BOTELLA DOSIFICADORA 0,5L JD SANI CALC 6PC;;;;DIVERSEY ESPAÑA, S.L.;33,25;1;;0;
6190;7513964;BTL. PULVERIZ. 0,5L JD SPRINT GLASS (5pc);280;BOTELLAS Y PULVERIZADORES;0,115,280;DIVERSEY ESPAÑA, S.L.;33,25;1;;0;280
6195;7513963;BOTELLA PULVERIZADORA 0,5L JD GOOD SENSE V;280;BOTELLAS Y PULVERIZADORES;0,115,280;DIVERSEY ESPAÑA, S.L.;33,25;1;;0;280
6200;7519367;TASKI SANI URIBLOC(CAJA 6X50U);205;ESPECIALIDADES BAÑOS;0,108,205;DIVERSEY ESPAÑA, S.L.;210,67;1;C:\SALIDA\img\006200.JPG;0;205
6210;7510903;DI R7 (16U.x0,5L.) Se;205;ESPECIALIDADES BAÑOS;0,108,205;DIVERSEY ESPAÑA, S.L.;47,1;1;;0;205
6220;7513977;BOTELLA DOSIFICADORA 0,5L JD SPRINT EMEREL;280;BOTELLAS Y PULVERIZADORES;0,115,280;DIVERSEY ESPAÑA, S.L.;33,25;1;;0;280
6245;7521593;TASKI SANI CID PUR-ECO SMARTDOSE 1,4L;215;SISTEMA SMARTDOSE;0,109,215;DIVERSEY ESPAÑA, S.L.;50,19;1;C:\SALIDA\img\006245.jpg;0;215
6255;7517838;TASKI SPRINT MULTIUSO SMARTDOSE 1,4L;215;SISTEMA SMARTDOSE;0,109,215;DIVERSEY ESPAÑA, S.L.;32,67;1;C:\SALIDA\img\006255.jpg;0;215
6260;7517834;TASKI JONTEC 300 SMARTDOSE 1,4L;215;SISTEMA SMARTDOSE;0,109,215;DIVERSEY ESPAÑA, S.L.;28,43;1;C:\SALIDA\img\006260.jpg;0;215
6270;7517846;BOT. PULVERIZADOR 0,5L JD SPRINT MULT. 5PC;280;BOTELLAS Y PULVERIZADORES;0,115,280;DIVERSEY ESPAÑA, S.L.;33,25;1;;0;280
6280;7513979;BOT.PULVERIZADORA 0,5L JD JONTEC 300 6PC;280;BOTELLAS Y PULVERIZADORES;0,115,280;DIVERSEY ESPAÑA, S.L.;33,25;1;;0;280
6285;100874423;TASKI SANI DES QS 2x2,5L;216;SISTEMA QUATTRO SELECT;0,109,216;DIVERSEY ESPAÑA, S.L.;138,91;1;;0;216
6286;100874423;TASKI SANI DES QS (UNIDAD);216;SISTEMA QUATTRO SELECT;0,109,216;DIVERSEY ESPAÑA, S.L.;62,37;1;;0;216
6305;100861561;TASKI SANI ACTIVO (2Ux5L);203;LIMPIEZA GENERAL BAÑOS;0,108,203;DIVERSEY ESPAÑA, S.L.;41,67;1;;0;203
6310;7515067;JD SANI 100 CONC (6U.X1L.);213;GAMA EXACT;0,109,213;DIVERSEY ESPAÑA, S.L.;92,19;1;C:\SALIDA\img\006310.JPG;0;213
6320;;TASKI SANI 100 CONC 5L. Cb We61;213;GAMA EXACT;0,109,213;DIVERSEY ESPAÑA, S.L.;73,17;1;;0;213
6360;7515072;JD SPRINT 200 CONC (6U.X1L.) Db F.I.E.;213;GAMA EXACT;0,109,213;DIVERSEY ESPAÑA, S.L.;97,67;1;;0;213
6370;;TASKI SPRINT 200 NC CONC 5L Cb W561;213;GAMA EXACT;0,109,213;DIVERSEY ESPAÑA, S.L.;62,88;1;;0;213
6375;100863401;ROOM CARE R6 (6BOTX750ML);214;GAMA ROOM CARE;0,109,214;DIVERSEY ESPAÑA, S.L.;25,91;1;C:\SALIDA\img\006375.JPG;0;214
6412;7518112;TASKI SANI DES (2Ux5L);;;;DIVERSEY ESPAÑA, S.L.;47,15;1;;0;
6421;7515300;TASKI SANI TRIFORCE (10Ux1,5L);;;;DIVERSEY ESPAÑA, S.L.;70,55;1;;0;
6435;7515246;TASKI JONTEC 300 PUR-ECO (2Ux5L);180;GAMA PUR ECO HIGIENE;0,106,180;DIVERSEY ESPAÑA, S.L.;39,79;1;;0;180
6440;7515077;TASKI JONTEC 300 CONC 6UX1L Db W1105;213;GAMA EXACT;0,109,213;DIVERSEY ESPAÑA, S.L.;74,96;1;C:\SALIDA\img\006440.JPG;0;213
6450;;TASKI JONTEC 300 CONC 5L  Cb W1104;213;GAMA EXACT;0,109,213;DIVERSEY ESPAÑA, S.L.;59,12;1;;0;213
6460;7513959;SPRY BTL. 0,50L. SANI 100 W1b 5Pc;286;ACCESORIOS PARA DOSIFICACION;0,115,286;DIVERSEY ESPAÑA, S.L.;33,25;1;C:\SALIDA\img\006460.JPG;0;286
6465;7513959;SPRY BTL. 0.50L. SANI 100 W1b 1Pc;220;BOTELLAS DIVERMITE;0,109,220;DIVERSEY ESPAÑA, S.L.;0;1;;0;220
6470;7513961;SPRY BTL. 0,5L. SPRINT 200 E1b 5Pc;286;ACCESORIOS PARA DOSIFICACION;0,115,286;DIVERSEY ESPAÑA, S.L.;33,25;1;C:\SALIDA\img\006470.JPG;0;286
