cod_art;cod_artp;des_art;cod_cat;cat;familia;des_fam;nombre;precio_v;cod_pro;ACTIVO;ruta_img
6160;7517098;TASKI SPRINT GLASS QS 2X2.5L;208;MULTIUSOS;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;140,39;400000001;1;C:\SALIDA\img\006160.jpg
6185;7513972;BOTELLA DOSIFICADORA 0,5L JD SANI CALC 6PC;;;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;33,25;400000001;1;
6190;7513964;BTL. PULVERIZ. 0,5L JD SPRINT GLASS (5pc);280;BOTELLAS Y PULVERIZADORES;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;33,25;400000001;1;
6195;7513963;BOTELLA PULVERIZADORA 0,5L JD GOOD SENSE V;280;BOTELLAS Y PULVERIZADORES;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;33,25;400000001;1;
6200;7519367;TASKI SANI URIBLOC(CAJA 6X50U);205;ESPECIALIDADES BAÑOS;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;210,67;400000001;1;C:\SALIDA\img\006200.JPG
6210;7510903;DI R7 (16U.x0,5L.) Se;205;ESPECIALIDADES BAÑOS;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;47,1;400000001;1;
6220;7513977;BOTELLA DOSIFICADORA 0,5L JD SPRINT EMEREL;280;BOTELLAS Y PULVERIZADORES;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;33,25;400000001;1;
6245;7521593;TASKI SANI CID PUR-ECO SMARTDOSE 1,4L;215;SISTEMA SMARTDOSE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;50,19;400000001;1;C:\SALIDA\img\006245.jpg
6255;7517838;TASKI SPRINT MULTIUSO SMARTDOSE 1,4L;215;SISTEMA SMARTDOSE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;32,67;400000001;1;C:\SALIDA\img\006255.jpg
6260;7517834;TASKI JONTEC 300 SMARTDOSE 1,4L;215;SISTEMA SMARTDOSE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;28,43;400000001;1;C:\SALIDA\img\006260.jpg
6270;7517846;BOT. PULVERIZADOR 0,5L JD SPRINT MULT. 5PC;280;BOTELLAS Y PULVERIZADORES;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;33,25;400000001;1;
6280;7513979;BOT.PULVERIZADORA 0,5L JD JONTEC 300 6PC;280;BOTELLAS Y PULVERIZADORES;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;33,25;400000001;1;
6285;100874423;TASKI SANI DES QS 2x2,5L;216;SISTEMA QUATTRO SELECT;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;138,91;400000001;1;
6286;100874423;TASKI SANI DES QS (UNIDAD);216;SISTEMA QUATTRO SELECT;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;62,37;400000001;1;
6305;100861561;TASKI SANI ACTIVO (2Ux5L);203;LIMPIEZA GENERAL BAÑOS;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;41,67;400000001;1;
6310;7515067;JD SANI 100 CONC (6U.X1L.);213;GAMA EXACT;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;92,19;400000001;1;C:\SALIDA\img\006310.JPG
6320;;TASKI SANI 100 CONC 5L. Cb We61;213;GAMA EXACT;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;73,17;400000001;1;
